PanellistID,1 - Position 1,2 - Position 2,3 - Position 3,4 - Position 4,5 - Position 5,6 - Position 6,7 - Position 7,8 - Position 8,9 - Position 9,10 - Position 10,11 - Position 11,12 - Position 12,13 - Position 13,14 - Position 14,15 - Position 15
1,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
2,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
3,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
4,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
5,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
6,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
7,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
8,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
9,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
10,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
11,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
12,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
13,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
14,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
15,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
16,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
17,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
18,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
19,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
20,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
21,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
22,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
23,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
24,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
25,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
26,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
27,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
28,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
29,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
30,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
31,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
32,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
33,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
34,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
35,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
36,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
37,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
38,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
39,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
40,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
41,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
42,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
43,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
44,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
45,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
46,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
47,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
48,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
49,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
50,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
51,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
52,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
53,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
54,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
55,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
56,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
57,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
58,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
59,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
60,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
61,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
62,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
63,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
64,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
65,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
66,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
